curso_titulo;curso_slug;curso_descricao;modulo_titulo;modulo_ordem;aula_ordem;aula_titulo;aula_subtitulo;video_url;video_tipo;aula_descricao;materiais
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Conhecendo O Judiciario E As Premissas Para A Pericia Judicial;1;0;Por essa você não esperava!;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=0e5b57e0-f5d5-4e89-b508-a342eb39f3da;panda;Baixe a apostila e os arquivos complementares para acompanhar o curso adequadamente!;Apostila Leitura e Interpretação Processual.pdf
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Conhecendo O Judiciario E As Premissas Para A Pericia Judicial;1;1;Estrutura do Poder Judiciário;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=ffe3b903-83d2-452f-aafa-b6a4c2abdd95;panda;Como funciona o poder judicário e onde são julgados os processos.;
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Conhecendo O Judiciario E As Premissas Para A Pericia Judicial;1;2;Noções Processuais e Vocabulário Jurídico;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=82e2f08a-b10a-4005-8d45-c1e35217f574;panda;Nesta aula vamos entender um pouco sobre os principais temas dos documentos judiciais, bem como seu entendimento.;Glossário de termos jurídicos.pdf
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Tecnicas E Estrutura De Trabalho Para Os Calculos Judiciais;2;0;Caminhos e Técnicas para Interpretação Processual;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=e5f90bd4-de6f-4a2b-916e-3781573b536f;panda;Interpretação judicial é técnica e experiência, conheça algumas dicas que vão facilitar seu caminho.;
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Tecnicas E Estrutura De Trabalho Para Os Calculos Judiciais;2;1;Passos para elaboração e apresentação dos cálculos judiciais;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=acbd97db-be66-4d21-a639-1cac737e1e3b;panda;Cálculo judicial é uma arte e deve ser elaborado com organização e ordem.;
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Tecnicas E Estrutura De Trabalho Para Os Calculos Judiciais;2;2;Resumo e Ordem de Apresentação dos Cálculos;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=ef140298-71d6-4d9f-ac29-f573ab7c4c06;panda;Nesta aula veremos qual a ordem correta da apresentação das peças dos cálculos e bem como as informações que devem sempre constar no resumo de nossos números.;Planilha modelo.zip
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Importancia E Montagem De Sinteses Processuais;3;0;(Exemplo 01) Leitura, Interpretação e Montagem de Síntese Processual;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=33b806b4-51e2-4a81-a5bc-cd286dedbcce;panda;Como elaborar uma síntese processual perfeita através da leitura e interpretação do processo.;Processo 01.pdf
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Importancia E Montagem De Sinteses Processuais;3;1;(Exemplo 02) Leitura, Interpretação e Montagem de Síntese Processual;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=cd72deca-256b-46b5-842b-a8290b1ee656;panda;Leitura integral de uma decisão, para compreende como funcionar a escrita jurídica, bem como a ordem lógica da apresentação.;Processo 02.pdf
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Importancia E Montagem De Sinteses Processuais;3;2;Avaliação de conhecimento;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=f8590fca-db2d-4abf-9367-8d8eb6f260ef;panda;"Olá, a ideia dessa avaliação é treinar nossa capacidade de análise processual e assertividade quanto aos itens do Processo (leitura e interpretação) e aquilo que realmente será importante para os cálculos judiciais. Temos três processos de diferentes matérias (cível, previdenciário e bancário), cujas decisões e textos são completamente distintos e por isso tão importante para nós.

Baixe os processo, leia atentamente cada um deles e concentre-se nas questões.

Boa sorte,

Confio em você!";"Processo cível.pdf; Processo previdenciário.pdf; Processo bancário.pdf"
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Passos Finais Do Dominio Da Leitura E Interpretacao;4;0;Prova Final;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=f8590fca-db2d-4abf-9367-8d8eb6f260ef;panda;"A ideia principal desta prova é que você, através dos seus méritos de estudo e conhecimento adquirido ao longo dessas aulas, seja capaz de realizar aquilo que você buscou, que corresponde a leitura adequada de processos judiciais, interpretação assertiva e correta dos trechos decisórios e também a forma de apresentação dos cálculos, cujo objetivo deste último é fornecer ao leitor (seja o juiz ,advogado ou outras partes) completa transparência, lógica, entendimento e orientação acerca dos números por nós calculados.

Orgulhe-se por chegar até aqui, porque poucos Peritos dominam essa matéria e acabam tendo muita dificuldade ao atualizar valores e realizar cálculos mais simples, entretanto, por serem simples, muitas vezes deixam de estudar as orientações e juntam cálculos completamente inadequados. Perito que é PERITO tem o dever de conhecer os números que trabalha e ter completo domínio sobre os mesmos, assim, fazemos os números trabalhar para nós e não o contrário.

A prova consiste em um processo judiciais em que você deverá fazer a leitura integral, buscar das informações pertinentes ao cálculo e realizar a síntese processual, devendo observar todas as decisões (Sentença e acórdãos), devendo este documento, ser o nosso parâmetro para elaboração das contas, ou seja, aquele que vamos encaminhar para justiça.Para isso algumas observações: Leia atentamente o processo, uma, duas, quantas vezes por necessário para captara ideia do pedido, e aquilo que o juízo determina para o cálculo;

Depois de finalizar a leitura e a redação da síntese, você deve responder as questões a seguir.

Concentra e vai!!!!

Boa sorte, Marlos Henrique";Processo prova final.pdf
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Passos Finais Do Dominio Da Leitura E Interpretacao;4;1;Resolução da prova final;;;;Veja o arquivo em anexo como eu fiz a minha síntese processual desta prova.;Síntese processual da prova.pdf
Leitura e interpretação de processos judiciais para cálculos;leitura-e-interpretacao-de-processos-judiciais-para-calculo;;Passos Finais Do Dominio Da Leitura E Interpretacao;4;2;Encerramento e reflexão da importância do curso;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=733d26ed-6cc9-46c9-9294-48006fcd048c;panda;"Que tal?!!?

Parabéns por ter concluído com êxito essa etapa tão importante dos cálculos... sem ela não iremos a lugar nenhum, ou melhor, iremos para o ""buraco"". Tenha sempre a convicção de que a leitura é fundamental para os cálculos e deve ser feita com muita atenção e zelo.

Agora que você já conseguiu a nota mínima (que não é pouca) para passar pela prova final, disponibilizo a você meu arquivo de síntese para ter uma ideia de como deve ser seu trabalho de reunir todas as informações processuais em um único documento, de forma segura e confiável!

Parabéns e vamos em frente!

Antes de completar esta aula

Estou compartilhando um link onde deixei vários processos de diferentes discussões para que você possa treinar ainda mais tua habilidade de interpretar e ler um processo judicial.

https://drive.google.com/drive/folders/1Uva6eO4itKGNVqVrb5sMMaAyZopof7OE?usp=sharing

Acredito que você!";Modelo de síntese processual.doc
Excel Básico ao Avançado;excel-para-caculo;;Conhecendo Sobre Os Formatos De Excel;1;0;Aprendendo sobre formatos numéricos;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=c4a0ad6a-6794-4869-ac9c-33c702d7336f;panda;Nessa aula você entenderá os formatos numéricos que o Excel disponibiliza, compreendendo diferenças importantes entre os formatos Moeda e Contábil, bem como, as variações do formato Número e a utilidade do formato Geral.;
Excel Básico ao Avançado;excel-para-caculo;;Conhecendo Sobre Os Formatos De Excel;1;1;Formatos de data e hora;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=01f393b2-5c91-4114-82d5-6e5a578f4fe5;panda;Nessa aula vamos falar sobre os formatos de Data e Hora, vamos entender sobre como o Excel interpreta Datas e como você pode lidar com problema nos cálculos com hora.;
Excel Básico ao Avançado;excel-para-caculo;;Conhecendo Sobre Os Formatos De Excel;1;2;Formato de Porcentagem;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=b4026c58-8e42-4c84-b2e6-780ab22a11e5;panda;Nessa aula falaremos sobre o formato porcentagem e aprenderemos como tratar o problema da conversão decimal para porcentagem.;
Excel Básico ao Avançado;excel-para-caculo;;Conhecendo Sobre Os Formatos De Excel;1;3;Formatos Fração e Científico;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=277cfc57-7997-42c5-839d-fb232e36b24e;panda;Os formatos fração e científico são pouco utilizados do dia-a-dia, mas é importante você saber lidar com eles para corrigir problemas futuros, veremos isso nessa aula.;
Excel Básico ao Avançado;excel-para-caculo;;Conhecendo Sobre Os Formatos De Excel;1;4;Formatos Especiais;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=936ed8ce-5a12-44b4-9c0e-bba7a00f3071;panda;Nessa aula veremos modelos úteis e inúteis do formato especial.;
Excel Básico ao Avançado;excel-para-caculo;;Conhecendo Sobre Os Formatos De Excel;1;5;Criar Formatos Personalizados;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=b5f53bd6-27cf-4aa1-9ffa-46c1311df41c;panda;Nessa aula conheceremos as possibilidades de formatos personalizados do Excel. Você perceberá que podemos facilmente criar formatos personalizados respeitando as máscaras necessárias.;
Excel Básico ao Avançado;excel-para-caculo;;Conhecendo Os Operadores Do Excel;2;0;Operadores Aritméticos;;https://player-vz-a94806ca-13a.tv.pandavideo.com.br/embed/?v=f3828953-4e03-4288-b5dc-740743cd8dca;panda;Nesta aula você aprenderá a realizar cálculos no Excel. Falaremos sobre a ordem dos operadores, bem como, cálculos com porcentagem.;
